,date,altitude,latitude,longitude,relativeAltitude,pressure,isStair,value
0,2018-11-14 11:23:16,32.90386881147113,36.016182297493316,129.32305477754824,0.0,1021.2429199219999,0.0,0.0
1,2018-11-14 11:23:17,32.860257421221064,36.016188565065455,129.32307229885822,0.015853882,1021.2407226560001,0.0,0.0
2,2018-11-14 11:23:18,32.816646030970986,36.016194832637574,129.32308982016818,0.036994934,1021.238464355,0.0,0.0
3,2018-11-14 11:23:19,32.77303464072091,36.01620110020972,129.3231073414781,0.08984375,1021.232177734,0.0,0.0
4,2018-11-14 11:23:20,32.72942325047084,36.01620736778185,129.3231248627881,0.08984375,1021.231811523,0.0,0.0
5,2018-11-14 11:23:21,32.685811860220774,36.01621363535399,129.32314238409808,0.20610046399999998,1021.2176513669999,0.0,0.0
6,2018-11-14 11:23:22,32.642200469970696,36.016219902926125,129.32315990540803,0.22195434600000002,1021.2163085939999,0.0,0.0
7,2018-11-14 11:23:23,32.06993563534247,36.01619384363915,129.3231683316417,0.22195434600000002,1021.2163085939999,0.0,0.0
8,2018-11-14 11:23:24,31.49767080071424,36.016167784352156,129.32317675787542,0.126831055,1021.2274169919999,0.0,0.0
9,2018-11-14 11:23:25,30.92540596608601,36.016141725065175,129.3231851841091,0.021141052,1021.240356445,0.0,0.0
10,2018-11-14 11:23:26,31.35259288258795,36.01609647639889,129.32310348693008,-0.095123291,1021.254516602,0.0,0.0
11,2018-11-14 11:23:27,30.642731293590302,36.01606139423872,129.3230256646255,-0.211387634,1021.268188477,0.0,0.0
12,2018-11-14 11:23:28,31.08939425144105,36.016054462550784,129.32299954637858,-0.295936584,1021.278686523,0.0,0.0
13,2018-11-14 11:23:29,33.48201899862691,36.0160900494953,129.32294258399594,-0.322364807,1021.2816772460001,0.0,0.0
14,2018-11-14 11:23:30,28.201644897460927,36.01610666011539,129.32292525258308,-0.332931519,1021.282836914,0.0,0.0
15,2018-11-14 11:23:31,28.201644897460927,36.01611160892258,129.32291536827992,-0.3487854,1021.284790039,0.0,0.0
16,2018-11-14 11:23:32,28.203255081176767,36.01617468883086,129.32296253649412,-0.3831367495,1021.2890319825,0.0,0.0
17,2018-11-14 11:23:33,33.626221313476556,36.016256479864786,129.32304221442533,-0.41220092799999997,1021.292602539,0.0,0.0
18,2018-11-14 11:23:34,34.433521903991696,36.01628269805789,129.32301776818198,-0.39634704600000004,1021.29095459,0.0,0.0
19,2018-11-14 11:23:35,34.599196878814695,36.016272634742386,129.32303296343628,-0.391059875,1021.2899169919999,0.0,0.0
20,2018-11-14 11:23:36,34.58315901435852,36.01624933343926,129.3230124889557,-0.375205994,1021.2879638669999,0.0,0.0
21,2018-11-14 11:23:37,34.50605855432892,36.01623947210812,129.32301895403066,-0.3487854,1021.28527832,0.0,0.0
22,2018-11-14 11:23:38,34.466398892847444,36.016239780651134,129.3230246036365,-0.322364807,1021.281860352,0.0,0.0
23,2018-11-14 11:23:39,34.46343199591316,36.016241368744815,129.3230310094569,-0.290657043,1021.2781982419999,0.0,0.0
24,2018-11-14 11:23:40,34.46828171430079,36.01624209250446,129.32301835224794,-0.269515991,1021.275146484,0.0,0.0
25,2018-11-14 11:23:41,34.47111158054873,36.01624016946181,129.32301201796258,-0.163825989,1021.262268066,0.0,0.0
26,2018-11-14 11:23:42,34.46516325919012,36.01623871963386,129.323005042233,-0.036994934,1021.247009277,0.0,0.0
27,2018-11-14 11:23:43,34.459871771780826,36.01623517342132,129.32299513532192,0.00528717,1021.241943359,0.0,0.0
28,2018-11-14 11:23:44,34.447851610466664,36.01623161120402,129.32299783111384,0.05284881599999999,1021.23626709,0.0,0.0
29,2018-11-14 11:23:45,34.43511051657645,36.01624339947736,129.32296476752538,0.147972107,1021.224731445,0.0,0.0
30,2018-11-14 11:23:46,34.472031063559506,36.016248171723355,129.32294754745777,0.195533752,1021.219360352,0.0,0.0
31,2018-11-14 11:23:47,34.491182941866214,36.0162471291294,129.32293509040346,0.28536987300000005,1021.2082214355,0.0,0.0
